Id,Label,modularity_class,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
"LITTLE, ABNER","LITTLE, ABNER",3,15,12,27,5,0.364598,0.38021,167.600666,0.013392
PRINCESS ZANDA,PRINCESS ZANDA,3,5,10,15,5,0.362626,0.377737,5.215206,0.007991
BLACK PANTHER/T'CHAL,BLACK PANTHER/T'CHAL,3,487,499,986,5,0.489094,0.520356,302709.195953,0.548035
"STEELE, SIMON/WOLFGA","STEELE, SIMON/WOLFGA",7,9,7,16,5,0.368631,0.384528,336.169986,0.01322
"FORTUNE, DOMINIC","FORTUNE, DOMINIC",7,9,10,19,6,0.37408,0.391029,388.219629,0.01322
"ERWIN, CLYTEMNESTRA","ERWIN, CLYTEMNESTRA",3,45,34,79,5,0.37697,0.395529,1092.280392,0.04874
IRON MAN/TONY STARK,IRON MAN/TONY STARK,3,1106,1131,2237,4,0.526366,0.578797,1417611.337515,0.842536
IRON MAN IV/JAMES R.,IRON MAN IV/JAMES R.,3,326,338,664,5,0.470348,0.497989,295341.151375,0.350496
"RAVEN, SABBATH II/EL","RAVEN, SABBATH II/EL",7,8,9,17,5,0.370602,0.386913,213.079351,0.0087
CARNIVORE/COUNT ANDR,CARNIVORE/COUNT ANDR,3,33,35,68,5,0.405222,0.425848,1697.135712,0.061913
GHOST,GHOST,3,17,29,46,5,0.387214,0.406698,628.332953,0.020929
"ZIMMER, ABE","ZIMMER, ABE",3,48,50,98,5,0.387928,0.408523,1908.573444,0.06004
FU MANCHU,FU MANCHU,0,31,23,54,6,0.355627,0.369637,5344.045097,0.029321
"TARR, BLACK JACK","TARR, BLACK JACK",0,22,22,44,6,0.363512,0.37918,5221.293683,0.008493
"SMITH, SIR DENIS NAY","SMITH, SIR DENIS NAY",0,20,20,40,6,0.344615,0.355881,10911.192331,0.010575
SHANG-CHI,SHANG-CHI,0,89,97,186,5,0.443564,0.463721,123789.724627,0.113011
STARSHINE II/BRANDY,STARSHINE II/BRANDY,0,128,103,231,5,0.416229,0.439692,257128.690166,0.163611
"ROM, SPACEKNIGHT","ROM, SPACEKNIGHT",0,142,177,319,5,0.460163,0.481224,211971.605723,0.176809
MAN-THING/THEODORE T,MAN-THING/THEODORE T,6,103,132,235,5,0.457471,0.476742,72337.180464,0.137758
"WU, LEIKO","WU, LEIKO",0,16,39,55,5,0.39232,0.412589,11357.526418,0.016883
DOCTOR DREDD,DOCTOR DREDD,0,10,7,17,6,0.343586,0.354244,68.268904,0.004009
"RESTON, CLIVE","RESTON, CLIVE",0,15,30,45,6,0.369502,0.386705,3486.518865,0.004077
"JACKSON, STEVE","JACKSON, STEVE",0,59,30,89,5,0.360738,0.376972,15749.664504,0.08546
MYSTIQUE/RAVEN DARKH,MYSTIQUE/RAVEN DARKH,4,253,284,537,5,0.465466,0.491348,90456.87399,0.278753
BLOB/FRED J. DUKES,BLOB/FRED J. DUKES,4,268,316,584,5,0.474335,0.499847,101317.001775,0.332473
TORPEDO III/BROCK JO,TORPEDO III/BROCK JO,0,171,141,312,5,0.456034,0.476155,38743.340362,0.258076
PYRO/ALLERDYCE JOHNN,PYRO/ALLERDYCE JOHNN,4,241,178,419,5,0.45366,0.476346,44245.264616,0.32122
AVALANCHE/DOMINIC PE,AVALANCHE/DOMINIC PE,4,179,203,382,5,0.443822,0.469793,38753.03733,0.267701
ROGUE /,ROGUE /,4,624,600,1224,5,0.497756,0.531587,318913.164274,0.643329
DESTINY II/IRENE ADL,DESTINY II/IRENE ADL,4,156,142,298,5,0.436297,0.459996,25273.359653,0.210201
HYBRID/JAMES JIMMY M,HYBRID/JAMES JIMMY M,0,19,16,35,6,0.34616,0.357794,324.879934,0.034941
"CLARK, SARAH","CLARK, SARAH",0,36,32,68,6,0.333771,0.344723,4272.244491,0.039587
"KILLBURN, MACK","KILLBURN, MACK",0,15,8,23,6,0.324242,0.331628,48.834252,0.011346
"JONES, TAMMY ANNE","JONES, TAMMY ANNE",0,37,28,65,5,0.357293,0.372632,3408.65581,0.059555
"JONES, LORRAINE LORR","JONES, LORRAINE LORR",0,23,42,65,5,0.409934,0.430617,2896.434635,0.010079
"JONES, NELL","JONES, NELL",0,28,27,55,5,0.357168,0.372414,2961.737829,0.050067
"JONES, DANIEL DANNY","JONES, DANIEL DANNY",0,27,36,63,5,0.40348,0.423895,3347.723553,0.017649
"CLARK, JOHN","CLARK, JOHN",0,48,21,69,6,0.340441,0.351224,2814.020119,0.039305
SUB-MARINER/NAMOR MA,SUB-MARINER/NAMOR MA,10,702,729,1431,5,0.51059,0.546898,668162.014697,0.675303
VASHTI,VASHTI,10,133,152,285,5,0.441221,0.465011,43378.067751,0.176469
SEAWEED MAN,SEAWEED MAN,10,4,1,5,6,0.283503,0.290725,0.828115,0.005856
NOVA/RICHARD RIDER,NOVA/RICHARD RIDER,1,540,482,1022,5,0.491181,0.52087,340947.630086,0.563218
